LOC119724510	T-box protein 1
LOC119719495	xanthine dehydrogenase/oxidase-like
LOC119719496	multiple myeloma tumor-associated protein 2 homolog
LOC119719497	late secretory pathway protein AVL9 homolog
LOC119719500	enkurin-like
LOC119719506	ADP-ribosylation factor 1
LOC119719521	uncharacterized LOC119719521
LOC119719531	intestinal mucin-like protein
LOC119719532	carbohydrate sulfotransferase 14-like
LOC119719533	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial-like
LOC119719534	potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4-like
LOC119719535	uncharacterized LOC119719535
LOC119719536	elongation factor 1-beta-like
LOC119719537	RING finger protein nhl-1-like
LOC119719538	F-box/LRR-repeat protein 4-like
LOC119719539	piwi-like protein 1
LOC119719540	phosphopantetheine adenylyltransferase-like
LOC119719541	deleted in lung and esophageal cancer protein 1-like
LOC119719542	deleted in lung and esophageal cancer protein 1-like
LOC119719543	parathyroid hormone/parathyroid hormone-related peptide receptor-like
LOC119719544	small subunit processome component 20 homolog
LOC119719546	GTP-binding protein 10-like
LOC119719547	lanosterol synthase-like
LOC119719548	membrane-associated progesterone receptor component 1-like
LOC119719549	piwi-like protein 1
LOC119719550	uncharacterized LOC119719550
LOC119719551	partner of Y14 and mago-like
LOC119719552	guanine nucleotide-binding protein G(s) subunit alpha
LOC119719553	BRCA1-associated RING domain protein 1-like
LOC119719554	formin-like protein 3
LOC119719555	solute carrier family 40 member 1-like
LOC119719557	engulfment and cell motility protein 1-like
LOC119719558	protein SYS1 homolog
LOC119719559	uncharacterized LOC119719559
LOC119719560	NACHT, LRR and PYD domains-containing protein 3-like
LOC119719561	monocarboxylate transporter 13-like
LOC119719562	piwi-like protein 1
LOC119719563	growth factor receptor-bound protein 14-like
LOC119719564	F-box/WD repeat-containing protein 7-like
LOC119719565	apoptosis-resistant E3 ubiquitin protein ligase 1-like
LOC119719566	protein FAM117B-like
LOC119719567	serum paraoxonase/arylesterase 2-like
LOC119719568	synaptic vesicle membrane protein VAT-1 homolog
LOC119719571	uncharacterized LOC119719571
LOC119719572	zinc finger CCCH domain-containing protein 10-like
LOC119719573	vascular endothelial growth factor receptor 1-like
LOC119719574	pre-mRNA-processing factor 40 homolog B-like
LOC119719575	ADP-ribosylation factor-like protein 6-interacting protein 6
LOC119719577	mucin-3A-like
LOC119719578	uncharacterized LOC119719578
LOC119719580	uncharacterized LOC119719580
LOC119719581	CD209 antigen-like protein E
LOC119719582	apoptosis-resistant E3 ubiquitin protein ligase 1-like
LOC119719583	probable serine carboxypeptidase CPVL
LOC119719584	C-type lectin domain family 4 member E-like
LOC119719585	C-type lectin domain family 4 member E-like
LOC119719586	UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase MGP4-like
LOC119719587	octopamine receptor 1-like
LOC119719588	pancreas transcription factor 1 subunit alpha-like
LOC119719589	uncharacterized LOC119719589
LOC119719590	NLR family CARD domain-containing protein 4-like
LOC119719591	melatonin receptor type 1B-A-like
LOC119719592	NLR family CARD domain-containing protein 4-like
LOC119719593	uncharacterized LOC119719593
LOC119719594	uncharacterized LOC119719594
LOC119719595	short transient receptor potential channel 5-like
LOC119719597	monocarboxylate transporter 12-B-like
LOC119719599	G-protein coupled receptor 54-like
LOC119719600	probable G-protein coupled receptor No18
LOC119719601	serine/arginine repetitive matrix protein 1-like
LOC119719602	collagen alpha-1(X) chain-like
LOC119719603	zinc finger MYND domain-containing protein 11-like
LOC119719604	rRNA-processing protein FCF1 homolog
LOC119719606	delta-type opioid receptor-like
LOC119719608	uncharacterized LOC119719608
LOC119719609	cytochrome c oxidase subunit 4 isoform 1, mitochondrial-like
LOC119719610	protein SYS1 homolog
LOC119719611	uncharacterized LOC119719611
LOC119719613	G-protein coupled receptor 54-like
LOC119719614	serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A-like
LOC119719615	bifunctional coenzyme A synthase-like
LOC119719616	THAP domain-containing protein 11-like
LOC119719617	uncharacterized protein C5orf49-like
LOC119719618	integrin alpha-8-like
LOC119719619	ankyrin repeat and zinc finger domain-containing protein 1-like
LOC119719620	vesicle-trafficking protein SEC22a-like
LOC119719621	isopentenyl-diphosphate Delta-isomerase 1-like
LOC119719622	UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase MGP4-like
LOC119719623	probable hydrolase PNKD
LOC119719624	melatonin receptor type 1B-A-like
LOC119719625	uncharacterized LOC119719625
LOC119719626	uncharacterized LOC119719626
LOC119719627	serine/threonine-protein kinase Sgk1-B-like
LOC119719628	uncharacterized LOC119719628
LOC119719629	xanthine dehydrogenase/oxidase-like
LOC119719631	5-hydroxytryptamine receptor 4-like
LOC119719632	alpha-1D adrenergic receptor-like
LOC119719633	dopamine D2-like receptor
LOC119719634	allatostatin-A receptor-like
LOC119719635	protein trapped in endoderm-1-like
LOC119719636	octopamine receptor Oamb-like
LOC119719637	melanopsin-like
LOC119719638	allatostatin-A receptor-like
LOC119719639	melanopsin-like
LOC119719640	melanopsin-A-like
LOC119719641	alpha-1B adrenergic receptor-like
LOC119719642	melanopsin-like
LOC119719643	octopamine receptor 1-like
LOC119719644	uncharacterized LOC119719644
LOC119719645	uncharacterized LOC119719645
LOC119719646	uncharacterized LOC119719646
LOC119719647	caspase-3-like
LOC119719648	sporozoite surface protein 2-like
LOC119719649	mitogen-activated protein kinase kinase kinase 2-like
LOC119719651	uncharacterized LOC119719651
LOC119719652	fibrous sheath CABYR-binding protein-like
LOC119719653	hyalin-like
LOC119719654	fucolectin-like
LOC119719655	lactadherin-like
LOC119719656	SCO-spondin-like
LOC119719657	mucin-5AC-like
LOC119719658	flocculation protein FLO11-like
LOC119719660	mucin-2-like
LOC119719661	mucin-5AC-like
LOC119719662	mucin-2-like
LOC119719663	mucin-5B-like
LOC119719664	SCO-spondin-like
LOC119719665	mucin-2-like
LOC119719666	carbohydrate sulfotransferase 14-like
LOC119719667	uncharacterized LOC119719667
LOC119719668	metabotropic glutamate receptor-like
LOC119719669	histone H1-delta-like
LOC119719670	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like
LOC119719671	uncharacterized LOC119719671
LOC119719672	melatonin receptor type 1B-B-like
LOC119719673	lanC-like protein 2
LOC119719674	melanopsin-like
LOC119719676	melanopsin-A-like
LOC119719678	rRNA-processing protein FCF1 homolog
LOC119719679	SCO-spondin-like
LOC119719681	SCO-spondin-like
LOC119719682	partitioning defective 3 homolog
LOC119719683	uncharacterized LOC119719683
LOC119719684	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like
LOC119719685	cholecystokinin receptor type A-like
LOC119719686	uncharacterized LOC119719686
LOC119719687	monocarboxylate transporter 12-like
LOC119719688	uncharacterized LOC119719688
LOC119719689	octopamine receptor beta-1R-like
LOC119719690	D(4) dopamine receptor-like
LOC119719691	uncharacterized LOC119719691
LOC119719692	mucin-2-like
LOC119719693	probable carboxypeptidase X1
LOC119719694	helicase-like transcription factor
LOC119719695	uncharacterized LOC119719695
LOC119719696	melatonin receptor type 1B-A-like
LOC119719697	melatonin receptor type 1B-A-like
LOC119719698	sorcin-like
LOC119719699	elongator complex protein 2-like
LOC119719700	octopamine receptor beta-1R-like
LOC119719701	D(4) dopamine receptor-like
LOC119719702	uncharacterized LOC119719702
LOC119719703	mucin-3A-like
LOC119719704	beta-4C adrenergic receptor-like
LOC119719705	mucin-2-like
LOC119719706	mucin-7-like
LOC119719707	mucin-5AC-like
LOC119719708	mucin-2-like
LOC119719709	sulfotransferase 1C2-like
LOC119719710	uncharacterized LOC119719710
LOC119719711	UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase 1-like
LOC119719712	atrial natriuretic peptide receptor 1-like
LOC119719713	piggyBac transposable element-derived protein 4-like
LOC119719714	UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase MGP4-like
LOC119719715	uncharacterized LOC119719715
LOC119719716	mucin-2-like
LOC119719717	craniofacial development protein 2-like
LOC119719718	mucin-2-like
LOC119719719	mucin-5AC-like
LOC119719720	mucin-2-like
LOC119719721	uncharacterized LOC119719721
LOC119719722	uncharacterized LOC119719722
LOC119719723	F-box/WD repeat-containing protein 7-like
LOC119719725	uncharacterized LOC119719725
LOC119719726	protein white-like
LOC119719727	guanine nucleotide-binding protein alpha-2 subunit-like
LOC119719728	adenosine receptor A2b-like
LOC119719729	uncharacterized LOC119719729
LOC119719730	monocarboxylate transporter 13-like
LOC119719731	uncharacterized LOC119719731
LOC119719732	formin-like protein 2
LOC119719733	formin-like protein
LOC119719735	uncharacterized LOC119719735
LOC119719737	partner of bursicon-like
LOC119719738	uncharacterized LOC119719738
LOC119719739	bifunctional coenzyme A synthase-like
LOC119719742	retinoschisin-like
LOC119719743	uncharacterized protein K02A2.6-like
LOC119719744	uncharacterized LOC119719744
LOC119719745	bifunctional coenzyme A synthase-like
LOC119719748	bifunctional coenzyme A synthase-like
LOC119719751	F-box only protein 28-like
LOC119719752	uncharacterized LOC119719752
LOC119719753	uncharacterized LOC119719753
LOC119719755	uncharacterized protein K02A2.6-like
LOC119719756	NLR family CARD domain-containing protein 4-like
LOC119719758	piwi-like protein 1
LOC119719759	piwi-like protein 1
LOC119719760	uncharacterized LOC119719760
LOC119719761	zinc finger protein Pegasus-like
LOC119719763	bifunctional coenzyme A synthase-like
LOC119719764	bifunctional coenzyme A synthase-like
LOC119719765	bifunctional coenzyme A synthase-like
LOC119719767	piwi-like protein 1
LOC119719769	piwi-like protein 1
LOC119719770	cation-dependent mannose-6-phosphate receptor-like
LOC119719771	uncharacterized oxidoreductase YtbE-like
LOC119719772	basic salivary proline-rich protein 4-like
LOC119719773	NACHT, LRR and PYD domains-containing protein 14-like
LOC119719774	melanopsin-like
LOC119719775	uncharacterized LOC119719775
LOC119719776	melanopsin-B-like
LOC119719777	3-oxoacyl-[acyl-carrier-protein] reductase FabG-like
LOC119719778	bursicon-like
LOC119719779	DNA repair protein XRCC2-like
LOC119719780	uncharacterized LOC119719780
LOC119719781	bursicon-like
LOC119719782	aldo-keto reductase IolS-like
LOC119719783	uncharacterized LOC119719783
LOC119719784	uncharacterized LOC119719784
LOC119719786	leucine-rich repeat-containing protein 46-like
LOC119719787	piwi-like protein 1
LOC119719789	uncharacterized LOC119719789
LOC119719790	integrin alpha-8-like
LOC119719791	xanthine dehydrogenase/oxidase-like
LOC119719792	uncharacterized LOC119719792
LOC119719793	monocarboxylate transporter 13-like
LOC119719794	2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial-like
LOC119719795	uncharacterized LOC119719795
LOC119719796	NLR family CARD domain-containing protein 4-like
LOC119719797	twist-related protein-like
LOC119719798	G-protein coupled receptor moody-like
LOC119719799	basic helix-loop-helix transcription factor scleraxis-like
LOC119719802	cytochrome P450 2J5-like
LOC119719803	uncharacterized LOC119719803
LOC119719804	vacuolar protein sorting-associated protein 41 homolog
LOC119719805	POU domain, class 6, transcription factor 1-like
LOC119719806	xanthine dehydrogenase/oxidase-like
LOC119719808	splicing factor 3B subunit 1-like
LOC119719809	uncharacterized LOC119719809
LOC119719810	uncharacterized LOC119719810
LOC119719812	uncharacterized LOC119719812
LOC119719813	uncharacterized LOC119719813
LOC119719814	probable E3 ubiquitin ligase complex SCF subunit sconB
LOC119719816	octopamine receptor 1-like
LOC119719817	sodium- and chloride-dependent GABA transporter 2-like
LOC119719818	G-protein coupled receptor 54-like
LOC119719819	ciliogenesis-associated TTC17-interacting protein-like
LOC119719820	telomere-associated protein RIF1-like
LOC119719821	uncharacterized LOC119719821
LOC119719823	uncharacterized LOC119719823
LOC119719824	zinc metalloproteinase-disintegrin-like MTP8
LOC119719825	biogenesis of lysosome-related organelles complex 1 subunit 1-like
LOC119719826	ATP-binding cassette sub-family D member 2-like
LOC119719828	citrate synthase, mitochondrial-like
LOC119719829	proteasome subunit beta type-3-like
LOC119719830	10 kDa heat shock protein, mitochondrial-like
LOC119719831	60 kDa heat shock protein, mitochondrial-like
LOC119719832	zinc finger and BTB domain-containing protein 41-like
LOC119719833	DNA-directed RNA polymerase I subunit RPA2-like
LOC119719834	uncharacterized LOC119719834
LOC119719835	short transient receptor potential channel 5-like
LOC119719836	lactadherin-like
LOC119719837	all-trans-retinol 13,14-reductase-like
LOC119719839	E3 ubiquitin-protein ligase TRIM71-like
LOC119719840	histone acetyltransferase KAT2A-like
LOC119719841	uncharacterized LOC119719841
LOC119719842	uncharacterized LOC119719842
LOC119719843	uncharacterized LOC119719843
LOC119719844	double-stranded RNA-specific editase 1-like
LOC119719845	histone acetyltransferase KAT6A-like
LOC119719846	F-box only protein 28-like
LOC119719847	translational activator of cytochrome c oxidase 1-like
LOC119719848	actin-related protein 2/3 complex subunit 2-like
LOC119719849	fibrinogen C domain-containing protein 1-like
LOC119719858	F-box only protein 28-like
LOC119719874	zinc finger protein Pegasus-like
LOC119719883	sodium-dependent neutral amino acid transporter B(0)AT3-like
LOC119719886	transmembrane protein 141-like
LOC119719889	LIM/homeobox protein Lhx4-like
LOC119719890	spliceosome RNA helicase DDX39B-like
LOC119719891	E3 ubiquitin-protein ligase RNF26-like
LOC119719893	brain-specific homeobox protein homolog
LOC119719894	tetratricopeptide repeat protein 22-like
LOC119719895	tetratricopeptide repeat protein 22-like
LOC119719896	serine/threonine-protein kinase 11-interacting protein-like
LOC119719898	NACHT, LRR and PYD domains-containing protein 3-like
LOC119719899	neurogenic locus notch homolog protein 1-like
LOC119719900	uncharacterized LOC119719900
LOC119719901	neurogenic locus notch homolog protein 1-like
LOC119719903	SH3 and PX domain-containing protein 2A-like
LOC119719904	uncharacterized LOC119719904
LOC119719905	ATP-dependent RNA helicase SUPV3L1, mitochondrial-like
LOC119719907	uncharacterized LOC119719907
LOC119719908	T-cell leukemia homeobox protein 3-like
LOC119719909	uncharacterized LOC119719909
LOC119719910	THO complex subunit 3-like
LOC119719912	probable L-cysteine desulfhydrase, chloroplastic
LOC119719913	actin-related protein 2/3 complex subunit 5-B-like
LOC119719914	60S ribosomal protein L35-like
LOC119719915	organic cation transporter protein-like
LOC119719916	protein SHQ1 homolog
LOC119719918	nmrA-like family domain-containing protein 1
LOC119719919	serine/threonine-protein kinase Nek7-like
LOC119719920	uncharacterized LOC119719920
LOC119719921	ubiquinone biosynthesis protein COQ4 homolog, mitochondrial-like
LOC119719922	UBX domain-containing protein 4-like
LOC119719923	sideroflexin-1-like
LOC119719924	galactocerebrosidase-like
LOC119719925	galactocerebrosidase-like
LOC119719926	nucleolysin TIA-1-like
LOC119719927	protein lifeguard 4-like
LOC119719928	peptidyl-prolyl cis-trans isomerase G-like
LOC119719929	translin-like
LOC119719932	perlucin-like protein
LOC119719933	WD repeat-containing protein 5
LOC119719935	sulfhydryl oxidase 1-like
LOC119719936	protein FAM193A-like
LOC119719937	macrophage migration inhibitory factor-like
LOC119719938	choline transporter-like protein 2
LOC119719939	uncharacterized LOC119719939
